"inum"	"randn"	"itm"	"cam_id"	"rnum"	"dd1_count"	"aj2_count"	"collectedEggs"	"startDate"	"age"	"id"	"larvalTreat"	"adultTreat"	"deadFemale"	"deadMale"	"censored"	"camera_id"	"aj1_count"	"remark"	"ndead"	"numEggs"	"NstartF"	"alive"	"eggpDay"	"eggpFemDay"
"23565-IMG_9708.JPG"	"23565"	"9708.JPG"	"9708"	"23565"	5	18	"2/9/18"	2018-02-20	20	"C_DR2"	"C"	"DR"	18	5	0	"9708"	28	""	18	17	274	218	136	" 0.62"
"21640-IMG_9718.JPG"	"21640"	"9718.JPG"	"9718"	"21640"	20	37	"2/9/18"	2018-02-20	22	"C_DR2"	"C"	"DR"	6	0	0	"9718"	32	""	6	29.67	274	212	237.36	" 1.12"
"11928-IMG_9725.JPG"	"11928"	"9725.JPG"	"9725"	"11928"	36	33	"2/9/18"	2018-02-20	24	"C_DR2"	"C"	"DR"	3	1	1	"9725"	42	""	4	37	274	209	296	" 1.42"
"29599-IMG_9819.JPG"	"29599"	"9819.JPG"	"9819"	"29599"	325	274	"2/9/18"	2018-02-20	27	"C_DR2"	"C"	"DR"	10	3	0	"9819"	292	""	10	297	274	199	2376	"11.94"
"16527-IMG_9825.JPG"	"16527"	"9825.JPG"	"9825"	"16527"	21	32	"2/9/18"	2018-02-20	29	"C_DR2"	"C"	"DR"	13	2	0	"9825"	37	""	13	30	274	186	240	" 1.29"
"25429-IMG_9835.JPG"	"25429"	"9835.JPG"	"9835"	"25429"	13	19	"2/9/18"	2018-02-20	41	"C_DR2"	"C"	"DR"	19	6	1	"9835"	24	"6"	20	18.67	274	167	149.36	" 0.89"
"256-IMG_9844.JPG"	"256"	"9844.JPG"	"9844"	"256"	13	17	"2/9/18"	2018-02-20	43	"C_DR2"	"C"	"DR"	9	5	2	"9844"	9	""	11	13	274	158	104	" 0.66"
"26882-IMG_9855.JPG"	"26882"	"9855.JPG"	"9855"	"26882"	8	15	"2/9/18"	2018-02-20	45	"C_DR2"	"C"	"DR"	16	4	3	"9855"	20	""	19	14.33	274	142	114.64	" 0.81"
"27852-IMG_9862.JPG"	"27852"	"9862.JPG"	"9862"	"27852"	28	41	"2/9/18"	2018-02-20	48	"C_DR2"	"C"	"DR"	7	11	3	"9862"	42	""	10	37	274	135	296	" 2.19"
"26699-IMG_9870.JPG"	"26699"	"9870.JPG"	"9870"	"26699"	3	11	"2/9/18"	2018-02-20	50	"C_DR2"	"C"	"DR"	7	5	0	"9870"	14	""	7	9.33	274	128	74.64	" 0.58"
"12269-IMG_9879.JPG"	"12269"	"9879.JPG"	"9879"	"12269"	18	15	"2/9/18"	2018-02-20	52	"C_DR2"	"C"	"DR"	8	2	1	"9879"	15	""	9	16	274	120	128	" 1.07"
"14951-IMG_9889.JPG"	"14951"	"9889.JPG"	"9889"	"14951"	12	18	"2/9/18"	2018-02-20	55	"C_DR2"	"C"	"DR"	9	3	3	"9889"	18	""	12	16	274	111	128	" 1.15"
"11300-IMG_9890.JPG"	"11300"	"9890.JPG"	"9890"	"11300"	0	6	"2/9/18"	2018-02-20	57	"C_DR2"	"C"	"DR"	3	2	0	"9890"	7	""	3	4.33	274	108	34.64	" 0.32"
