collectedEggs	startDate	sampleDate	age	id	larvalTreat	adultTreat	deadFemale	deadMale	censored	camera_id	numEggs	remark
2/8/2018	2/20/2018	3/12/2018	20	EE_DR_DR1	DR	DR	12	2	0	9707	36	
2/8/2018	2/20/2018	3/12/2018	20	EE_DR_C1	DR	C	20	3	0	9709	80	
2/8/2018	2/20/2018	3/12/2018	20	EE_C_C1	C	C	20	5	0	9711	76	
2/8/2018	2/20/2018	3/12/2018	20	EE_C_DR1	C	DR	7	20	1	9712	41	
2/9/2018	2/20/2018	3/12/2018	20	EE_DR_DR2	DR	DR	33	6	0	9706	96	
2/9/2018	2/20/2018	3/12/2018	20	EE_DR_C2	DR	C	28	4	0	9705	266	
2/9/2018	2/20/2018	3/12/2018	20	EE_C_DR2	C	DR	18	5	0	9708	28	
2/9/2018	2/20/2018	3/12/2018	20	EE_C_C2	C	C	29	6	0	9710	87	
2/8/2018	2/20/2018	3/14/2018	22	EE_DR_DR1	DR	DR	5	2	0	9717	6	
2/8/2018	2/20/2018	3/14/2018	22	EE_DR_C1	DR	C	14	0	0	9719	355	
2/8/2018	2/20/2018	3/14/2018	22	EE_C_C1	C	C	8	2	1	9715	114	
2/8/2018	2/20/2018	3/14/2018	22	EE_C_DR1	C	DR	15	3	0	9714	18	
2/9/2018	2/20/2018	3/14/2018	22	EE_DR_DR2	DR	DR	21	1	0	9713	41	
2/9/2018	2/20/2018	3/14/2018	22	EE_DR_C2	DR	C	19	0	0	9720	407	
2/9/2018	2/20/2018	3/14/2018	22	EE_C_DR2	C	DR	6	0	0	9718	32	
2/9/2018	2/20/2018	3/14/2018	22	EE_C_C2	C	C	19	1	0	9716	197	
2/8/2018	2/20/2018	3/16/2018	24	EE_DR_DR1	DR	DR	8	0	0	9721	120	
2/8/2018	2/20/2018	3/16/2018	24	EE_DR_C1	DR	C	7	0	0	9727	148	
2/8/2018	2/20/2018	3/16/2018	24	EE_C_C1	C	C	11	2	0	9723	38	
2/8/2018	2/20/2018	3/16/2018	24	EE_C_DR1	C	DR	8	0	1	9726	22	
2/9/2018	2/20/2018	3/16/2018	24	EE_DR_DR2	DR	DR	10	5	0	9722	126	
2/9/2018	2/20/2018	3/16/2018	24	EE_DR_C2	DR	C	13	4	0	9728	74	
2/9/2018	2/20/2018	3/16/2018	24	EE_C_DR2	C	DR	3	1	1	9725	42	
2/9/2018	2/20/2018	3/16/2018	24	EE_C_C2	C	C	18	3	1	9724	111	
2/8/2018	2/20/2018	3/19/2018	27	EE_DR_DR1	DR	DR	5	2	1	9823	216	
2/8/2018	2/20/2018	3/19/2018	27	EE_DR_C1	DR	C	12	4	0	9822	184	
2/8/2018	2/20/2018	3/19/2018	27	EE_C_C1	C	C	6	2	1	9821	38	
2/8/2018	2/20/2018	3/19/2018	27	EE_C_DR1	C	DR	7	7	1	9824	73	
