,age,cageID,larv_adult,larvalTreat,adultTreat,status,sex
2913,73,LP_HP2,LP_HP,LP,HP,1,M
2914,73,LP_HP2,LP_HP,LP,HP,1,M
1813,73,LP_LP2,LP_LP,LP,LP,1,F
1814,73,LP_LP2,LP_LP,LP,LP,1,F
1815,73,LP_LP2,LP_LP,LP,LP,1,F
2909,73,LP_LP2,LP_LP,LP,LP,1,M
2910,73,LP_LP2,LP_LP,LP,LP,1,M
2911,73,LP_LP2,LP_LP,LP,LP,1,M
1822,75,HP_HP1,HP_HP,HP,HP,1,F
1830,75,HP_HP2,HP_HP,HP,HP,1,F
1823,75,HP_LP1,HP_LP,HP,LP,1,F
1829,75,HP_LP2,HP_LP,HP,LP,1,F
1821,75,LP_HP1,LP_HP,LP,HP,1,F
1826,75,LP_HP2,LP_HP,LP,HP,1,F
1827,75,LP_HP2,LP_HP,LP,HP,1,F
1828,75,LP_HP2,LP_HP,LP,HP,1,F
1820,75,LP_LP1,LP_LP,LP,LP,1,F
1824,75,LP_LP2,LP_LP,LP,LP,1,F
1825,75,LP_LP2,LP_LP,LP,LP,1,F
2918,75,LP_LP1,LP_LP,LP,LP,1,M
2919,75,LP_LP2,LP_LP,LP,LP,1,M
1832,78,HP_HP2,HP_HP,HP,HP,1,F
2924,78,HP_HP1,HP_HP,HP,HP,1,M
2942,78,HP_HP2,HP_HP,HP,HP,1,M
2943,78,HP_HP2,HP_HP,HP,HP,1,M
2944,78,HP_HP2,HP_HP,HP,HP,1,M
2945,78,HP_HP2,HP_HP,HP,HP,1,M
2946,78,HP_HP2,HP_HP,HP,HP,1,M
2947,78,HP_HP2,HP_HP,HP,HP,1,M
2948,78,HP_HP2,HP_HP,HP,HP,1,M
2949,78,HP_HP2,HP_HP,HP,HP,1,M
2925,78,HP_LP1,HP_LP,HP,LP,1,M
2926,78,HP_LP1,HP_LP,HP,LP,1,M
2927,78,HP_LP1,HP_LP,HP,LP,1,M
2937,78,HP_LP2,HP_LP,HP,LP,1,M
2938,78,HP_LP2,HP_LP,HP,LP,1,M
2939,78,HP_LP2,HP_LP,HP,LP,1,M
2940,78,HP_LP2,HP_LP,HP,LP,1,M
2941,78,HP_LP2,HP_LP,HP,LP,1,M
2922,78,LP_HP1,LP_HP,LP,HP,1,M
2923,78,LP_HP1,LP_HP,LP,HP,1,M
2928,78,LP_HP2,LP_HP,LP,HP,1,M
2929,78,LP_HP2,LP_HP,LP,HP,1,M
2930,78,LP_HP2,LP_HP,LP,HP,1,M
2931,78,LP_HP2,LP_HP,LP,HP,1,M
2932,78,LP_HP2,LP_HP,LP,HP,1,M
2933,78,LP_HP2,LP_HP,LP,HP,1,M
2934,78,LP_HP2,LP_HP,LP,HP,1,M
2935,78,LP_HP2,LP_HP,LP,HP,1,M
2936,78,LP_HP2,LP_HP,LP,HP,1,M
1831,78,LP_LP2,LP_LP,LP,LP,1,F
2920,78,LP_LP1,LP_LP,LP,LP,1,M
2921,78,LP_LP1,LP_LP,LP,LP,1,M
2954,80,HP_HP2,HP_HP,HP,HP,1,M
2952,80,HP_LP1,HP_LP,HP,LP,1,M
2951,80,LP_HP1,LP_HP,LP,HP,1,M
2950,80,LP_LP1,LP_LP,LP,LP,1,M
2953,80,LP_LP2,LP_LP,LP,LP,1,M
1836,82,HP_HP1,HP_HP,HP,HP,1,F
1842,82,HP_HP2,HP_HP,HP,HP,1,F
2956,82,HP_HP1,HP_HP,HP,HP,1,M
2957,82,HP_HP1,HP_HP,HP,HP,1,M
2958,82,HP_HP1,HP_HP,HP,HP,1,M
2961,82,HP_HP2,HP_HP,HP,HP,1,M
1837,82,HP_LP1,HP_LP,HP,LP,1,F
1841,82,HP_LP2,HP_LP,HP,LP,1,F
1835,82,LP_HP1,LP_HP,LP,HP,1,F
1838,82,LP_HP2,LP_HP,LP,HP,1,F
1839,82,LP_HP2,LP_HP,LP,HP,1,F
1840,82,LP_HP2,LP_HP,LP,HP,1,F
2960,82,LP_HP2,LP_HP,LP,HP,1,M
1833,82,LP_LP1,LP_LP,LP,LP,1,F
1834,82,LP_LP1,LP_LP,LP,LP,1,F
2955,82,LP_LP1,LP_LP,LP,LP,1,M
2959,82,LP_LP2,LP_LP,LP,LP,1,M
2962,85,HP_LP1,HP_LP,HP,LP,1,M
2965,85,HP_LP2,HP_LP,HP,LP,1,M
2966,85,HP_LP2,HP_LP,HP,LP,1,M
2967,85,HP_LP2,HP_LP,HP,LP,1,M
2968,85,HP_LP2,HP_LP,HP,LP,1,M
2969,85,HP_LP2,HP_LP,HP,LP,1,M
2970,85,HP_LP2,HP_LP,HP,LP,1,M
2963,85,LP_LP2,LP_LP,LP,LP,1,M
2964,85,LP_LP2,LP_LP,LP,LP,1,M
2973,87,HP_LP1,HP_LP,HP,LP,1,M
2974,87,HP_LP1,HP_LP,HP,LP,1,M
2978,87,HP_LP2,HP_LP,HP,LP,1,M
2979,87,HP_LP2,HP_LP,HP,LP,1,M
2977,87,LP_HP2,LP_HP,LP,HP,1,M
2971,87,LP_LP1,LP_LP,LP,LP,1,M
2972,87,LP_LP1,LP_LP,LP,LP,1,M
2975,87,LP_LP2,LP_LP,LP,LP,1,M
2976,87,LP_LP2,LP_LP,LP,LP,1,M
2983,89,HP_LP2,HP_LP,HP,LP,1,M
2984,89,HP_LP2,HP_LP,HP,LP,1,M
1843,89,LP_HP1,LP_HP,LP,HP,1,F
2980,89,LP_LP1,LP_LP,LP,LP,1,M
2981,89,LP_LP1,LP_LP,LP,LP,1,M
2982,89,LP_LP2,LP_LP,LP,LP,1,M
2989,92,HP_LP1,HP_LP,HP,LP,1,M
2990,92,HP_LP1,HP_LP,HP,LP,1,M
2991,92,HP_LP1,HP_LP,HP,LP,1,M
2992,92,HP_LP1,HP_LP,HP,LP,1,M
2994,92,HP_LP2,HP_LP,HP,LP,1,M
2995,92,HP_LP2,HP_LP,HP,LP,1,M
2996,92,HP_LP2,HP_LP,HP,LP,1,M
2997,92,HP_LP2,HP_LP,HP,LP,1,M
2998,92,HP_LP2,HP_LP,HP,LP,1,M
2985,92,LP_LP1,LP_LP,LP,LP,1,M
2986,92,LP_LP1,LP_LP,LP,LP,1,M
2987,92,LP_LP1,LP_LP,LP,LP,1,M
2988,92,LP_LP1,LP_LP,LP,LP,1,M
2993,92,LP_LP2,LP_LP,LP,LP,1,M
2999,94,HP_LP1,HP_LP,HP,LP,1,M
3001,96,HP_LP1,HP_LP,HP,LP,1,M
3000,96,LP_LP1,LP_LP,LP,LP,1,M
3005,99,HP_LP1,HP_LP,HP,LP,1,M
3006,99,HP_LP1,HP_LP,HP,LP,1,M
3007,99,HP_LP1,HP_LP,HP,LP,1,M
3010,99,HP_LP2,HP_LP,HP,LP,1,M
3011,99,HP_LP2,HP_LP,HP,LP,1,M
3012,99,HP_LP2,HP_LP,HP,LP,1,M
3013,99,HP_LP2,HP_LP,HP,LP,1,M
3014,99,HP_LP2,HP_LP,HP,LP,1,M
3004,99,LP_HP1,LP_HP,LP,HP,1,M
3002,99,LP_LP1,LP_LP,LP,LP,1,M
3003,99,LP_LP1,LP_LP,LP,LP,1,M
3008,99,LP_LP2,LP_LP,LP,LP,1,M
3009,99,LP_LP2,LP_LP,LP,LP,1,M
3015,101,LP_LP1,LP_LP,LP,LP,1,M
3016,101,LP_LP1,LP_LP,LP,LP,1,M
3017,101,LP_LP2,LP_LP,LP,LP,1,M
3018,101,LP_LP2,LP_LP,LP,LP,1,M
3019,103,LP_LP2,LP_LP,LP,LP,1,M
3020,106,HP_LP2,HP_LP,HP,LP,1,M
3021,110,HP_LP1,HP_LP,HP,LP,1,M
3022,113,HP_LP1,HP_LP,HP,LP,1,M
3023,113,HP_LP2,HP_LP,HP,LP,1,M
