75	13	
79	28	
100	11	
113	12	
126	549	
256	13	
346	25	
899	116	
1015	13	
1134	16	
1313	92	
1605	1810	
1725	137	
1759	76	
1876	116	
1887	78	
2021	83	
2140	0	
2217	96	
2405	14	
2413	13	
2442	0	
2450	1	
2475	201	
2514	10	
2675	0	
2706	17	
2763	14	
2776	14	
2859	7	
3062	197	
3069	522	
3270	34	
3289	6	
3367	24	
3486	7	
3587	7	
3709	161	
3787	8	
3993	3	
3994	120	
4005	63	
4307	108	
4328	71	
4424	79	
4473	12	
4530	174	
4672	3	
4950	111	
5016	162	
5206	5	
5240	16	
5400	5	
5889	3	
6008	5	
6237	347	
6261	491	
6314	147	
6331	28	
6462	128	
6518	39	
6692	4	
6871	1	
6892	127	
7017	6	
7088	101	
7134	144	
7165	27	
7228	1	
7313	58	
7460	356	
7775	3	
7786	231	
8079	21	
8464	2	
8526	0	
8587	102	
8612	75	
8787	1	
8837	14	
8897	404	
9120	5	
9131	212	
9149	90	
9603	36	
9676	5	
9744	525	
9770	2814	
10005	3	
10094	12	
10271	23	
10302	4	
10455	559	
10665	229	
10757	200	
10809	719	
10846	181	
11018	0	
11057	7	
11215	160	
11300	0	
11499	6	
11928	36	
12246	27	
12269	18	
12464	8	
12485	41	
12866	12	
13076	13	
13179	9	
13256	2	
13378	175	
13469	7	
13482	2	
13500	5	
13542	5	
13569	7	
13661	2	
13663	28	
13812	7	
14036	11	
14040	5	
14043	4	
14084	49	
14101	97	
14266	74	
14292	82	
14544	3	
14792	218	
14870	3	
14900	0	
14951	12	
15023	2	
15051	8	
15149	19	
15217	3	
15308	79	
15700	3	
15743	69	
16119	33	
16203	14	
16353	149	
16468	52	
16503	145	
16527	21	
16523	8	
16583	2	
16594	1	
16692	0	
16694	0	
17120	138	
17235	131	
17497	5	
17938	0	
17981	76	
18092	134	
18448	7	
18480	5	
18722	281	
18996	6	
19017	2	
19318	12	
19381	217	
19481	7	
19804	0	
19912	23	
19981	70	
20017	47	
20243	0	
20610	10	
20655	2	
20877	5	
21077	15	
21192	131	
21260	0	
21640	20	
21761	2	
21829	2	
22003	1	
22044	746	
22224	2	
22231	11	
22255	46	
22274	2	
22725	37	
22804	24	
23035	15	
23338	210	
23374	231	
23565	5	
26373	180	
23786	75	
23984	42	
24191	4	
24601	5	
24710	10	
24844	18	
24882	1	
24917	4	
24941	0	
24972	270	
25114	2	
25100	1	
25114	378	
25150	5	
25219	0	
25250	37	
25329	4	
25429	13	
25659	225	
25664	0	
26068	501	
26179	6	
26220	0	
26405	17	
26413	57	
26425	4	
26600	4	
26686	2	
26699	3	
26765	1	
26871	8	
26882	8	
26905	463	
27011	0	
27075	1	
27142	13	
27181	10	
27343	51	
27416	6	
27526	1315	
27533	23	
27658	3	
27665	53	
27703	5	
27821	310	
27852	28	
28036	2	
28045	30	
28127	807	
28175	2	
28250	59	
28262	0	
28391	13	
28657	0	
28764	81	
28790	0	
28980	0	
28981	2	
28996	24	
29140	195	
29230	0	
29462	9	
29599	325	
29716	18	
29867	2	
29900	5	
29905	9	
29991	0	
30033	334	
30065	4	
30201	3	
30356	1	
30635	0	
31249	3	
31938	2	
32096	14	
32158	0	
32269	46	
32322	2	
32435	375	
32715	60	
32726	23	
32734	0	
